Bulan;Bandeng;Cakalang;Gurami;Kembung;Layang;Lele;Nila;Patin;Tongkol;Udang
1/2014;28956;31325;34324;29305;#N/A;23241;27314;19162;25565;60000
2/2014;31091;29790;33529;26878;#N/A;22326;28457;19893;22775;54167
3/2014;25000;18881;37047;27683;19424;19053;24810;19485;23232;58229
4/2014;22933;23701;35858;25333;20856;20886;24484;21731;21940;59679
5/2014;23184;23496;35601;25605;21242;21123;24902;21826;22301;58786
6/2014;23200;25419;36345;26538;21461;21256;24747;21641;23176;59469
7/2014;23884;26221;36816;27554;22383;21681;25179;22210;23792;62308
8/2014;24036;26097;36923;27622;22975;21620;25411;22335;24648;62751
9/2014;23882;25937;36673;27389;22102;21197;25235;22300;24179;63093
10/2014;24160;26397;37386;26721;21353;20772;24705;22296;23754;64229
11/2014;24833;26224;37940;26780;21499;21195;25435;22324;23424;66491
12/2014;24994;27301;36986;26906;22153;21193;25580;22064;23894;67314
1/2015;25662;28288;38226;28244;23165;21600;26549;22557;25191;67361
2/2015;25370;27539;39942;28258;23141;21632;26622;22764;23998;70943
3/2015;25411;27579;39643;30102;22748;21292;26653;22177;23853;67419
4/2015;24900;27003;39263;26130;21373;21807;25660;22624;22804;66733
5/2015;25300;26338;39432;26995;21910;21328;25575;22163;23536;66800
6/2015;25593;27591;39548;28685;26254;22014;25985;22375;24012;69670
7/2015;25097;29477;40144;28524;27995;22712;26765;22338;24609;70411
8/2015;24996;28002;42204;30237;22902;22724;27059;22604;24673;67368
9/2015;24926;26173;42591;28870;21755;22594;27037;22588;23793;65181
10/2015;24989;25814;42103;28968;21728;22582;27264;23094;23215;69268
11/2015;24636;25113;41992;27095;20941;22463;27032;23012;23133;67935
12/2015;25106;25096;43603;27019;22052;22953;27610;22948;23647;69671
1/2016;26190;26133;44983;29075;22453;22470;29060;22645;23627;75451
2/2016;26376;26230;41613;29354;22825;24178;29343;23648;23947;66764
3/2016;26442;27886;43170;29475;22490;24469;29089;24356;24411;66319
4/2016;25008;25093;42292;29382;21889;23965;29799;23295;23115;71904
5/2016;25086;25376;40619;30540;23491;23612;29332;23173;23651;69155
6/2016;24854;27163;42098;30061;23931;23206;29694;23209;24183;72545
7/2016;25381;28916;42191;30876;24896;24864;29289;23506;25416;70055
8/2016;24864;29335;42331;31402;25914;23298;29740;23502;26110;70127
9/2016;25505;27653;42370;31982;23835;23042;29434;22758;25948;72758
10/2016;24610;27096;45304;31236;23372;23024;28911;23017;25212;70932
11/2016;24876;27415;42279;30595;23526;23262;29565;23252;25670;73112
12/2016;25056;28583;42829;31318;24413;23480;29994;23026;26809;74564
1/2017;26200;28582;52400;29824;22809;24964;37026;31429;30292;63182
2/2017;24559;20833;39750;31981;22500;23795;34194;22115;30533;56250
3/2017;25106;21871;38000;34901;25240;22340;29441;23296;27153;72095
4/2017;24138;20069;39762;32153;25190;28846;28662;22444;26301;66281
5/2017;23977;21463;41176;33328;22403;21236;29222;21586;28177;71649
