Bulan;Bandeng;Cakalang;Gurami;Kembung;Layang;Lele;Nila;Patin;Tongkol;Udang
1/2014;24789;25711;30088;25615;#N/A;19925;21607;15879;19930;51731
2/2014;26688;25553;29559;23091;#N/A;19283;23921;15907;18286;45904
3/2014;21391;16226;32667;24136;15803;16227;21984;16420;19279;52458
4/2014;19474;20096;32027;21801;17553;17774;20982;18623;18639;52996
5/2014;19738;19706;31444;21824;17884;18012;21194;18635;18901;51388
6/2014;19851;21821;32081;22909;18032;18411;21202;18546;19685;52665
7/2014;20413;22686;32409;24034;18966;18795;21636;19061;20351;55371
8/2014;20512;22098;32547;24120;19568;18654;21913;19191;20952;55605
9/2014;20354;21819;32239;23800;18883;18116;21784;19208;20504;55874
10/2014;20539;22062;32885;23111;17978;17747;21181;19275;20020;57013
11/2014;21034;21852;33344;23069;17884;18014;21779;19298;19637;58794
12/2014;21159;23092;32770;23231;18388;18024;21924;19008;20053;60267
1/2015;21709;23332;34056;24593;19326;17796;22902;19016;21427;60883
2/2015;21607;23513;35143;24741;19561;18315;22882;19601;20427;64499
3/2015;21137;22790;34832;24120;19109;18076;22548;19472;20322;60309
4/2015;20903;22854;34503;22688;18555;18288;21853;19695;19202;59690
5/2015;21221;21539;34678;23970;17692;18351;22112;18997;19394;60302
6/2015;21508;20962;35185;23687;18294;18666;21945;19224;19508;60307
7/2015;21053;21259;36808;24607;18363;19112;22695;18834;19597;60153
8/2015;20704;20493;38177;24931;18376;19151;23161;19133;19714;58997
9/2015;20854;20321;36814;24507;17701;18939;22855;18808;19643;58361
10/2015;20811;20613;37490;24368;17651;19149;23625;19179;19284;61720
11/2015;20760;20107;37566;22907;17157;19040;23548;18888;19500;62026
12/2015;21183;20421;38223;22778;17632;19330;23837;18972;19136;64003
1/2016;23550;20249;40206;23859;18202;19807;25208;19681;19715;64326
2/2016;22090;20872;36881;24522;18548;20444;25296;20650;19797;58852
3/2016;22185;20222;36967;24715;17892;20692;24510;19945;19312;59222
4/2016;21284;19478;37214;23973;16951;19816;25237;19180;18546;65266
5/2016;20863;20013;37069;25189;19126;19666;24905;18963;19604;63215
